,Cena,Kupione,Chłodzenie:,Faktura:,Interfejs złącza karty:,Pamięć:,Producent chipsetu:,Producent:,Rodzaj pamięci:,Stan:,Szyna pamięci:,Model
179,749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
180,1619,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
181,579,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
182,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
183,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
184,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
185,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
186,1639,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,RTX2060
187,2499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
188,5790,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,GDDR6,Nowy,352,RTX2080ti
189,5690,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Palit,GDDR6,Nowy,352,RTX2080ti
190,1299,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1660ti
191,3699,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
