,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Nazwa,Cena kupiona,Cena zaoferowana,Link,offer_id,Stan:,Kupione,Model,Producent:,Cena
1722,1722,1722,1722,1722,1722,1722,  RX 570 - Warszawa Sklep,Brak,520,https://archiwum.allegro.pl//oferta/powercolor-radeon-rx-570-warszawa-sklep-i7782971978.html,7782971978,Używany,0,RX570,PowerColor,520
1723,1723,1723,1723,1723,1723,1723,Nowa    GF RTX 2070  8GB,Brak,2910,https://archiwum.allegro.pl//oferta/nowa-karta-graficzna-msi-gf-rtx-2070-gaming-8gb-i7771900503.html,7771900503,Nowy,0,RTX2070,MSI,2910
1724,1724,1724,1724,1724,1724,1724,  RX590 8GB FATBOY ,Brak,1030,https://archiwum.allegro.pl//oferta/xfx-amd-rx590-8gb-fatboy-oc-i7786670307.html,7786670307,Nowy,0,RX590,XFX,1030
1725,1725,1725,1725,1725,1725,1725,    RX 470 MINING H 4GB LE,Brak,550,https://archiwum.allegro.pl//oferta/asus-karta-graficzna-radeon-rx-470-mining-h-4gb-le-i7728775773.html,7728775773,Nowy,0,RX470,Asus,550
1726,1726,1726,1726,1726,1726,1726,    RX 470 MINING H 4GB LE,Brak,558,https://archiwum.allegro.pl//oferta/asus-karta-graficzna-radeon-rx-470-mining-h-4gb-le-i7728453889.html,7728453889,Nowy,0,RX470,Asus,558
1727,1727,1727,1727,1727,1727,1727,  GTX760  4GB 256bit HDMI DVI DP,Brak,499,https://archiwum.allegro.pl//oferta/nvidia-geforce-gtx760-msi-4gb-256bit-hdmi-dvi-dp-i7758388950.html,7758388950,Używany,0,GTX760,MSI,499
1728,1728,1728,1728,1728,1728,1728,"    GTX 970, 4GB GDDR5",Brak,519,https://archiwum.allegro.pl//oferta/karta-graficzna-zotac-geforce-gtx-970-4gb-gddr5-i7747384515.html,7747384515,Używany,0,GTX970,Zotac,519
1729,1729,1729,1729,1729,1729,1729,  GTX 1050 Ti 4GB *jak nowa* Gwarancja,Brak,529,https://archiwum.allegro.pl//oferta/palit-stormx-gtx-1050-ti-4gb-jak-nowa-gwarancja-i7772186570.html,7772186570,Używany,0,GTX1050ti,Palit,529
1730,1730,1730,1730,1730,1730,1730,  RX560 -4G,Brak,548,https://archiwum.allegro.pl//oferta/gigabyte-radeon-rx560-oc-4g-i7592481662.html,7592481662,Nowy,0,RX560,GIGABYTE,548
1731,1731,1731,1731,1731,1731,1731,  GTX 1060 6GT V1 6GB GWARANCJA 10 m.,Brak,749,https://archiwum.allegro.pl//oferta/msi-geforce-gtx-1060-6gt-ocv1-6gb-gwarancja-10-m-i7782792694.html,7782792694,Używany,0,GTX1060,MSI,749
